type,icon,x,y,z,item,price,comment,image,ytVideo,ytStart,ytEnd
chest,sword_damage,9824.729,-20440.514,1035.53,2) BuySwordDamage+1_C,,,,,,
chest,,-1787.864,-26292.451,1278.341,4) BuySwordCriticalDamageChance_C,,,,,,
chest,see_health_bar,15246.124,-12127.81,36.179,5) BuyShowHealthbar_C,,,,,,
chest,,23339.314,-21310.824,-554.905,6) BuyArmor1_C,,,,,,
chest,,17812.566,-17338.869,1700.886,7) BuyHeartLuck_C,,,,,,
chest,,4222.514,-23085.871,-2343.439,8) BuySwordDamage+3_C,,,,,,
chest,,632.224,-34133.496,-388.432,11) BuyNumberRising_C,,,,,,
chest,health_regen_max,11393.255,-24524.422,-593.364,12) BuyHealthRegenMax5_C,,,,,,
chest,sword_damage,3358.922,-26135.199,861.984,13) BuySwordDamage+02_C,,,,,,
chest,gun_red_wood,23463.631,-28263.457,5183.943,14) BuyGun1_C,,,,,,
chest,gun_upgrade,-36853.715,-37346.328,735.131,16) BuyGunAltDamagex2_C,,,,,,
chest,sword_damage,24425,-25065,3995,17) BuySwordDamage+1_C,,,,,,
chest,sword_damage,15830,-34330,4160.933,18) BuySwordDamage+02_C,,,,,,
chest,,23511.664,-16721.475,643.712,19) BuyForceBlockTelefrag_C,,,,,,
chest,health,3975.55,-45484.555,788.946,20) BuyHealth+5_C,,,,,,
chest,,13052.906,-36796.465,1694.428,21) BuyWalletx2_C,,,,,,
chest,health,-3682.034,-24074.881,-2113.833,22) BuyHealth+5_C,,,,,,
chest,sword_damage,29420.502,-27703.715,1701.314,23) BuySwordDamage+1_C,,,,,,
chest,health_regen_speed,18011.09,-29514.262,-122.117,24) BuyHealthRegenSpeed_C,,,,,,
chest,,24135.619,-25290,3090,25) BuyHealth+2_C,,,,,,
chest,health,-2698.985,-38583.332,82.543,27) BuyHealth+5_C,,,,,,
chest,health_regen_speed,8050.612,-6981.543,1198.424,28) BuyHealthRegenSpeed_C,,,,,,
chest,,13286.137,-36769.863,461.105,29) BuySwordHoly1_C,,,,,,
chest,health,16576.66,-21894.641,2472.776,31) BuyHealth+1_C,,,,,,
chest,,-3131.217,-39510.379,599.983,32) BuySwordRange25_C,,,,,,
chest,health,-748.743,-35592.91,350.309,33) BuyHealth+5_C,,,,,,
chest,sword_damage,3023.561,-19473.773,46.309,35) BuySwordCriticalDamage_C,,,,,,
chest,health,23444.715,-27931.107,4392.326,36) BuyHealth+5_C,,,,,,
chest,loot,13408.884,-24664.773,986.719,37) BuyEnemiesLoot_C,,,,,,
chest,health_regen_max,10113.163,-41894.836,596.802,38) BuyHealthRegenMax5_C,,,,,,
chest,health,1580.954,-41104.504,520.7,39) BuyHealth+5_C,,,,,,
